CounterPrefix,CounterName,CounterType,CounterGroup,SignalWidth,Implementation,InstanceNum,Description,Note
,ClientReadRowHit_CommandProcessor_Sched{N},,,,,8,Read operations that access an already-open memory page (same row),
,ClientReadRowHit_DisplayController_Sched{N},,,,,8,Read operations that access an already-open memory page (same row),
,ClientReadRowHit_StreamerFetch_Sched{N},,,,,8,Read operations that access an already-open memory page (same row),
,ClientReadRowHit_StreamerLoader_Sched{N},,,,,8,Read operations that access an already-open memory page (same row),
,ClientReadRowHit_TextureUnit_Sched{N},,,,,8,Read operations that access an already-open memory page (same row),
,ClientReadRowHit_ZStencilTest_Sched{N},,,,,8,Read operations that access an already-open memory page (same row),
,ClientReadRowMiss_ColorWrite_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientReadRowMiss_CommandProcessor_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientReadRowMiss_DisplayController_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientReadRowMiss_StreamerFetch_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientReadRowMiss_StreamerLoader_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientReadRowMiss_TextureUnit_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientReadRowMiss_ZStencilTest_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientRowHit_ColorWrite_Sched{N},,,,,8,Client-specific: all requests hitting open memory row (read+write),
,ClientRowHit_CommandProcessor_Sched{N},,,,,8,Client-specific: all requests hitting open memory row (read+write),
,ClientRowHit_DisplayController_Sched{N},,,,,8,Client-specific: all requests hitting open memory row (read+write),
,ClientRowHit_StreamerFetch_Sched{N},,,,,8,Client-specific: all requests hitting open memory row (read+write),
,ClientRowHit_StreamerLoader_Sched{N},,,,,8,Client-specific: all requests hitting open memory row (read+write),
,ClientRowHit_TextureUnit_Sched{N},,,,,8,Client-specific: all requests hitting open memory row (read+write),
,ClientRowHit_ZStencilTest_Sched{N},,,,,8,Client-specific: all requests hitting open memory row (read+write),
,ClientRowMiss_ColorWrite_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientRowMiss_CommandProcessor_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientRowMiss_DisplayController_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientRowMiss_StreamerFetch_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientRowMiss_StreamerLoader_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientRowMiss_TextureUnit_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientRowMiss_ZStencilTest_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientWriteRowHit_ColorWrite_Sched{N},,,,,8,Write operations that access an already-open memory page (same row),
,ClientWriteRowHit_CommandProcessor_Sched{N},,,,,8,Write operations that access an already-open memory page (same row),
,ClientWriteRowHit_DisplayController_Sched{N},,,,,8,Write operations that access an already-open memory page (same row),
,ClientWriteRowHit_StreamerFetch_Sched{N},,,,,8,Write operations that access an already-open memory page (same row),
,ClientWriteRowHit_StreamerLoader_Sched{N},,,,,8,Write operations that access an already-open memory page (same row),
,ClientWriteRowHit_TextureUnit_Sched{N},,,,,8,Write operations that access an already-open memory page (same row),
,ClientWriteRowHit_ZStencilTest_Sched{N},,,,,8,Write operations that access an already-open memory page (same row),
,ClientWriteRowMiss_ColorWrite_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientWriteRowMiss_CommandProcessor_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientWriteRowMiss_DisplayController_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientWriteRowMiss_StreamerFetch_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientWriteRowMiss_StreamerLoader_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientWriteRowMiss_TextureUnit_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClientWriteRowMiss_ZStencilTest_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ClippedTriangles_CLP,,,,,,Number of triangles modified by viewport/scissor clipping,
,ClosePageActivationCount_Sched{N},,,,,8,Number of close-page row activations,
,ColorStateBlocksClear_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,ColorStateBlocksClear_cmoDisplayController,,,,,,Display controller memory access and state tracking,
,ColorStateBlocksCompressedBest_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,ColorStateBlocksCompressedBest_cmoDisplayController,,,,,,Display controller memory access and state tracking,
,ColorStateBlocksCompressedNormal_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,ColorStateBlocksCompressedNormal_cmoDisplayController,,,,,,Display controller memory access and state tracking,
,ColorStateBlocksCompressedWorst_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,ColorStateBlocksCompressedWorst_cmoDisplayController,,,,,,Display controller memory access and state tracking,
,ColorStateBlocksTotal_cmoDisplayController,,,,,,Display controller memory access and state tracking,
,ColorStateBlocksUncompressed_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,ColorStateBlocksUncompressed_cmoDisplayController,,,,,,Display controller memory access and state tracking,
,ColorWrite{N}_AcceptReadCycles_MC,,,,,4,Cycles accepting new read requests,
,ColorWrite{N}_AcceptWriteCycles_MC,,,,,4,Cycles accepting new write requests,
,ColorWrite{N}_CompletedReadChannelTrans_Sched{N}_MC,,,,,8,Number of completed read channel transactions,
,ColorWrite{N}_ReadBytes_MC,,,,,4,Total bytes read from memory,
,ColorWrite{N}_ReadBytes_Sched{N}_MC,,,,,8,Total bytes read from memory,
,ColorWrite{N}_ReadChannelTransAccumTime_Sched{N}_MC,,,,,8,Total accumulated latency for read transactions,
,ColorWrite{N}_ReadTransactions_MC,,,,,4,Number of read transactions,
,ColorWrite{N}_Transactions_MC,,,,,4,Total memory transactions,
,ColorWrite{N}_WriteBytes_MC,,,,,4,Total bytes written to memory,
,ColorWrite{N}_WriteBytes_Sched{N}_MC,,,,,8,Total bytes written to memory,
,ColorWrite{N}_WriteTransactions_MC,,,,,4,Number of write transactions,
,ColorWrite{N}_completedReadTrans_MC,,,,,4,Number of completed operations,
,ColorWrite{N}_serviceAccumTime_MC,,,,,4,Total accumulated service time for memory requests,
,ColorWrite{N}_serviceTimeAvg_MC,,,,,4,Average service time for memory requests,
,CommandProcessor_AcceptReadCycles_MC,,,,,,Cycles accepting new read requests,
,CommandProcessor_AcceptWriteCycles_MC,,,,,,Cycles accepting new write requests,
,CommandProcessor_CompletedReadChannelTrans_Sched{N}_MC,,,,,8,Number of completed read channel transactions,
,CommandProcessor_ReadBytes_MC,,,,,,Total bytes read from memory,
,CommandProcessor_ReadBytes_Sched{N}_MC,,,,,8,Total bytes read from memory,
,CommandProcessor_ReadChannelTransAccumTime_Sched{N}_MC,,,,,8,Total accumulated latency for read transactions,
,CommandProcessor_ReadTransactions_MC,,,,,,Number of read transactions,
,CommandProcessor_Transactions_MC,,,,,,Total memory transactions,
,CommandProcessor_WriteBytes_MC,,,,,,Total bytes written to memory,
,CommandProcessor_WriteBytes_Sched{N}_MC,,,,,8,Total bytes written to memory,
,CommandProcessor_WriteTransactions_MC,,,,,,Number of write transactions,
,CommandProcessor_completedReadTrans_MC,,,,,,Number of completed operations,
,CommandProcessor_serviceAccumTime_MC,,,,,,Total accumulated service time for memory requests,
,CommandProcessor_serviceTimeAvg_MC,,,,,,Average service time for memory requests,
,ComprBlock128_CW-SU{N},,,,,4,Number of 128-byte compressed blocks written,
,ComprBlock192_CW-SU{N},,,,,4,Number of 192-byte compressed blocks written,
,ComprBlock256_CW-SU{N},,,,,4,Number of 256-byte compressed blocks written,
,ComprBlock64_CW-SU{N},,,,,4,Number of 64-byte compressed blocks written,
,ComprBlock128_ZST-SU{N},,,,,4,Number of 128-byte compressed blocks written,
,ComprBlock192_ZST-SU{N},,,,,4,Number of 192-byte compressed blocks written,
,ComprBlock256_ZST-SU{N},,,,,4,Number of 256-byte compressed blocks written,
,ComprBlock64_ZST-SU{N},,,,,4,Number of 64-byte compressed blocks written,
,CompressorBusy_CW-SU{N},,,,,4,Cycles when color/Z compression hardware is busy processing data,
,CompressorBusy_ZST-SU{N},,,,,4,Cycles when color/Z compression hardware is busy processing data,
,ConsumerBusy_CW-SU{N},,,,,4,Cycles when consumer unit is busy (writing to memory),
,ConsumerBusy_ZST-SU{N},,,,,4,Cycles when consumer unit is busy (writing to memory),
,CulledFragments_CW-SU{N},,,,,4,Number of fragments culled/outside render target bounds,
,CulledFragments_HZ,,,,,,Number of fragments rejected by hierarchical Z early test,
,CulledFragments_ZST-SU{N},,,,,4,Number of fragments rejected by depth/stencil test,
,CulledHZFragments_HZ,,,,,,Number of fragments culled by hierarchical Z test,
,CulledOutsideFragments_HZ,,,,,,Number of fragments culled for being outside bounds,
,CulledTriangles_TS,,,,,,"Number of triangles rejected (back-face, degenerate, outside)",
,CycleCounter,,,,,,Total number of GPU cycles executed,
,DDRActiveCommands_Sched{N},,,,,8,Number of DDR activate commands issued,
,DDRPrechargeCommands_Sched{N},,,,,8,Number of DDR precharge commands issued,
,DDRReadCommands_Sched{N},,,,,8,Number of DDR read commands issued to memory bus,
,DDRWriteCommands_Sched{N},,,,,8,Number of DDR write commands issued to memory bus,
,DataBusBusy_CW-SU{N},,,,,4,Cycles when ROP/color data bus is busy,
,DataBusBusy_ZST-SU{N},,,,,4,Cycles when ROP/color data bus is busy,
,DataBytes_Sched{N},,,,,8,Total bytes transferred on DDR memory bus,
,DataCycles_Sched{N},,,,,8,Cycles with valid data on DDR bus,
,DecompressionPendingQueueFull_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,DecompressorBusy_CW-SU{N},,,,,4,Cycles when color/Z compression hardware is busy processing data,
,DecompressorBusy_ZST-SU{N},,,,,4,Cycles when color/Z compression hardware is busy processing data,
,Degenerated_PA,,,,,,Number of degenerate primitives (zero-area triangles filtered out),
,DisplayController_AcceptReadCycles_MC,,,,,,Cycles accepting new read requests,
,DisplayController_AcceptWriteCycles_MC,,,,,,Cycles accepting new write requests,
,DisplayController_CompletedReadChannelTrans_Sched{N}_MC,,,,,8,Number of completed read channel transactions,
,DisplayController_ReadBytes_MC,,,,,,Total bytes read from memory,
,DisplayController_ReadBytes_Sched{N}_MC,,,,,8,Total bytes read from memory,
,DisplayController_ReadChannelTransAccumTime_Sched{N}_MC,,,,,8,Total accumulated latency for read transactions,
,DisplayController_ReadTransactions_MC,,,,,,Number of read transactions,
,DisplayController_Transactions_MC,,,,,,Total memory transactions,
,DisplayController_WriteBytes_MC,,,,,,Total bytes written to memory,
,DisplayController_WriteBytes_Sched{N}_MC,,,,,8,Total bytes written to memory,
,DisplayController_WriteTransactions_MC,,,,,,Number of write transactions,
,DisplayController_completedReadTrans_MC,,,,,,Number of completed operations,
,DisplayController_serviceAccumTime_MC,,,,,,Total accumulated service time for memory requests,
,DisplayController_serviceTimeAvg_MC,,,,,,Average service time for memory requests,
,Draw_CP,,,,,,Number of draw/rendering commands processed,
,EmptyCycles_ShF-FS{N},,,,,4,Number of cycles with no active operations,
,EndCommands_ShDX-FS{N},,,,,4,Number of end commands terminating shader execution,
,EndFragment_CP,,,,,,Number of end-fragment commands processed,
,EndGeometry_CP,,,,,,Number of end-geometry commands processed,
,ExecutedInstructions_ShDX-FS{N},,,,,4,Number of shader instructions successfully executed,
,FailedFragments_ZST-SU{N},,,,,4,Number of fragments failing depth/stencil test,
,FakedInstructions_ShDX-FS{N},,,,,4,Number of instructions that were faked/simulated without actual execution,
,FetchBankConflicts_TU-FS{N}TU{N},,,,,4,Number of bank conflicts in texture cache access,
,FetchCycles_ShF-FS{N},,,,,4,Number of cycles spent fetching instructions,
,FetchFailed_CW-SU{N},,,,,4,Failed fetch/read operations,
,FetchFailed_ZST-SU{N},,,,,4,Failed fetch/read operations,
,FetchOK_CW-SU{N},,,,,4,Number of successful fetch operations,
,FetchOK_ZST-SU{N},,,,,4,Number of successful fetch operations,
,FetchQEmpty_CW-SU{N},,,,,4,Cycles with fetch queue empty,
,FetchQEmpty_ZST-SU{N},,,,,4,Cycles with fetch queue empty,
,FetchQFullStall_CW-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,FetchQFullStall_ZST-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,FetchStallAddress_TU-FS{N}TU{N},,,,,4,Cycles stalled waiting for texture address calculation,
,FetchStallFetch_TU-FS{N}TU{N},,,,,4,Cycles stalled due to no available fetch capability,
,FetchStallReadyRead_TU-FS{N}TU{N},,,,,4,Cycles stalled because ready-read queue has no free entries,
,FetchStallWaitRead_TU-FS{N}TU{N},,,,,4,Cycles stalled no free entries in wait-read window,
,FetchedInstr_ShF-FS{N},,,,,4,Number of shader instructions fetched from instruction memory,
,FetchesFailed_TU-FS{N}TU{N},,,,,4,Number of failed texture fetch operations,
,FetchesOK_TU-FS{N}TU{N},,,,,4,Number of successful texture fetch operations,
,FetchesSkiped_TU-FS{N}TU{N},,,,,4,Number of texture fetches skipped (already cached),
,Fetches_SL{N},,,,,1,Fetches related metric,
,FilterALUBusyCycles_TU-FS{N}TU{N},,,,,4,Cycles filter ALU is busy applying filtering operations,
,FinishedThreads_ShF-FS{N},,,,,4,Number of shader threads that have completed execution,
,Flush_CP,,,,,,Number of flush commands processed,
,Frames_CP,,,,,,Total number of frames rendered (buffer swaps),
,FreeThreads_ShF-FS{N},,,,,4,Number of available shader execution thread slots,
,FrontFacingTriangles_TS,,,,,,Number of triangles with front-face orientation,
,GeneratedFragments_TT,,,,,,Number of fragments generated by rasterizer from triangles,
,HistoAnisoRatioNoAniso_TU-FS{N}TU{N},,,,,4,Distribution histogram of anisotropic filtering ratios,
,HistoAnisoRatio{M}_TU-FS{N}TU{N},,,,,16/4,Distribution histogram of anisotropic filtering ratios,
,HistoBilinears{M}_TU-FS{N}TU{N},,,,,32/4,Distribution histogram of bilinear filtered samples,
,HitsAlloc_FC64_TU-FS{N}TU{N},,,,,4,Number of allocation cache hits,
,HitsAlloc_FC_CW-SU{N},,,,,4,HitsAlloc related metric,
,HitsAlloc_FC_InC,,,,,,HitsAlloc related metric,
,HitsAlloc_FC_TU-FS{N}TU{N},,,,,4,HitsAlloc related metric,
,HitsAlloc_FC_ZST-SU{N},,,,,4,HitsAlloc related metric,
,HitsFetch_FC64_TU-FS{N}TU{N},,,,,4,Number of fetch cache hits,
,HitsFetch_FC_CW-SU{N},,,,,4,HitsFetch related metric,
,HitsFetch_FC_InC,,,,,,HitsFetch related metric,
,HitsFetch_FC_TU-FS{N}TU{N},,,,,4,HitsFetch related metric,
,HitsFetch_FC_ZST-SU{N},,,,,4,HitsFetch related metric,
,HitsHZCache_HZ,,,,,,HitsHZCache related metric,
,Hits_StOC,,,,,,Hits related metric,
,IdleCycles_Sched{N},,,,,8,Number of idle DDR cycles,
,IndexesSent_StF,,,,,,IndexesSent related metric,
,Indices_SL{N},,,,,1,Number of vertex indices processed,
,Indices_StC,,,,,,Number of vertex indices processed,
,Indices_StOC,,,,,,Indices related metric,
,InputActiveInputAttributes_ShF-FS{N},,,,,4,Number of active input attributes per vertex,
,InputActiveOutputAttributes_ShF-FS{N},,,,,4,Number of active output attributes per vertex,
,InputFragments_CW-SU{N},,,,,4,Number of fragments input to processing stage,
,InputFragments_FFU,,,,,,InputFragments related metric,
,InputFragments_HZ,,,,,,InputFragments related metric,
,InputFragments_ZST-SU{N},,,,,4,Number of fragments input to processing stage,
,InputQEmpty_CW-SU{N},,,,,4,Cycles with input queue empty,
,InputQEmpty_ZST-SU{N},,,,,4,Cycles with input queue empty,
,InputRegisters_ShF-FS{N},,,,,4,Number of registers used for inputs,
,InputTriangles_CLP,,,,,,InputTriangles related metric,
,InputTriangles_FFU,,,,,,Number of triangles input to fragment FIFO unit,
,InputTriangles_TS,,,,,,Number of triangles input to triangle setup stage,
,InputTriangles_TT,,,,,,Number of triangles input to triangle traversal stage,
,InputVertices_FFU,,,,,,InputVertices related metric,
,Inputs_SL{N},,,,,1,Number of vertex inputs processed,
,Inputs_ShF-FS{N},,,,,4,Number of vertex inputs processed,
,IntStampQueuesOccupation_FFU,,,,,,Average occupancy of resource,
,InterpolatedFragments_FFU,,,,,,InterpolatedFragments related metric,
,LogicOpFragments_CW-SU{N},,,,,4,Number of fragments with logic operations applied,
,MagnifiedPixels_TU-FS{N}TU{N},,,,,4,Number of texture pixels magnified during filtering,
,MappedAttributes_SL{N},,,,,1,Number of mapped vertex attributes,
,MemReqStall_CW-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,MemReqStall_ZST-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,MemTransactions_SL{N},,,,,1,Transactions for GPU module (transactions),
,MemoryPreload_CP,,,,,,Number of memory preload commands,
,MemoryRead_CP,,,,,,Number of memory read commands,
,MemoryRequestLatency_TU-FS{N}TU{N},,,,,4,Number of requests issued,
,MemoryRequests_TU-FS{N}TU{N},,,,,4,Number of memory requests issued to memory system,
,MemoryTransactions_StF,,,,,,Transactions for GPU module (transactions),
,MemoryWrite_CP,,,,,,Number of memory write commands,
,MipsSampled1_TU-FS{N}TU{N},,,,,4,Number of mipmap levels accessed during texture sampling,
,MipsSampled2_TU-FS{N}TU{N},,,,,4,Number of mipmap levels accessed during texture sampling,
,MissFailAlloc_FC64_TU-FS{N}TU{N},,,,,4,Number of failed allocation cache misses,
,MissFailAlloc_FC_CW-SU{N},,,,,4,MissFailAlloc related metric,
,MissFailAlloc_FC_InC,,,,,,MissFailAlloc related metric,
,MissFailAlloc_FC_TU-FS{N}TU{N},,,,,4,MissFailAlloc related metric,
,MissFailAlloc_FC_ZST-SU{N},,,,,4,MissFailAlloc related metric,
,MissFailFetch_FC64_TU-FS{N}TU{N},,,,,4,Number of failed fetch cache misses,
,MissFailFetch_FC_CW-SU{N},,,,,4,Number of texture fetch misses that failed,
,MissFailFetch_FC_InC,,,,,,Number of texture fetch misses that failed,
,MissFailFetch_FC_TU-FS{N}TU{N},,,,,4,Number of texture fetch misses that failed,
,MissFailFetch_FC_ZST-SU{N},,,,,4,Number of texture fetch misses that failed,
,MissFailMissAlloc_FC64_TU-FS{N}TU{N},,,,,4,Allocation misses failed due to existing miss,
,MissFailMissAlloc_FC_CW-SU{N},,,,,4,Allocation misses that failed (existing miss encountered) (color write cache),
,MissFailMissAlloc_FC_InC,,,,,,Allocation misses that failed (existing miss encountered) (input cache),
,MissFailMissAlloc_FC_TU-FS{N}TU{N},,,,,4,Allocation misses that failed (existing miss encountered) (texture cache),
,MissFailMissAlloc_FC_ZST-SU{N},,,,,4,Allocation misses that failed (existing miss encountered) (Z-stencil cache),
,MissFailMissFetch_FC64_TU-FS{N}TU{N},,,,,4,Fetch cache misses failed due to existing miss,
,MissFailMissFetch_FC_CW-SU{N},,,,,4,Fetch cache misses that failed (existing miss present) (color write cache),
,MissFailMissFetch_FC_InC,,,,,,Fetch cache misses that failed (existing miss present) (input cache),
,MissFailMissFetch_FC_TU-FS{N}TU{N},,,,,4,Fetch cache misses that failed (existing miss present) (texture cache),
,MissFailMissFetch_FC_ZST-SU{N},,,,,4,Fetch cache misses that failed (existing miss present) (Z-stencil cache),
,MissFailReqQueueAlloc_FC64_TU-FS{N}TU{N},,,,,4,Allocation misses failed due to request queue full,
,MissFailReqQueueAlloc_FC_CW-SU{N},,,,,4,Number of failed memory requests due to misses,
,MissFailReqQueueAlloc_FC_InC,,,,,,Number of failed memory requests due to misses,
,MissFailReqQueueAlloc_FC_TU-FS{N}TU{N},,,,,4,Number of failed memory requests due to misses,
,MissFailReqQueueAlloc_FC_ZST-SU{N},,,,,4,Number of failed memory requests due to misses,
,MissFailReqQueueFetch_FC64_TU-FS{N}TU{N},,,,,4,Fetch cache misses failed due to request queue full,
,MissFailReqQueueFetch_FC_CW-SU{N},,,,,4,Number of failed memory requests due to misses,
,MissFailReqQueueFetch_FC_InC,,,,,,Number of failed memory requests due to misses,
,MissFailReqQueueFetch_FC_TU-FS{N}TU{N},,,,,4,Number of failed memory requests due to misses,
,MissFailReqQueueFetch_FC_ZST-SU{N},,,,,4,Number of failed memory requests due to misses,
,MissFailReserveAlloc_FC64_TU-FS{N}TU{N},,,,,4,Allocation misses failed due to no reserve,
,MissFailReserveAlloc_FC_CW-SU{N},,,,,4,Allocation misses failed (no reserve buffer available) (color write cache),
,MissFailReserveAlloc_FC_InC,,,,,,Allocation misses failed (no reserve buffer available) (input cache),
,MissFailReserveAlloc_FC_TU-FS{N}TU{N},,,,,4,Allocation misses failed (no reserve buffer available) (texture cache),
,MissFailReserveAlloc_FC_ZST-SU{N},,,,,4,Allocation misses failed (no reserve buffer available) (Z-stencil cache),
,MissFailReserveFetch_FC64_TU-FS{N}TU{N},,,,,4,Fetch cache misses failed due to no reserve,
,MissFailReserveFetch_FC_CW-SU{N},,,,,4,Fetch misses failed (no reserve buffer available) (color write cache),
,MissFailReserveFetch_FC_InC,,,,,,Fetch misses failed (no reserve buffer available) (input cache),
,MissFailReserveFetch_FC_TU-FS{N}TU{N},,,,,4,Fetch misses failed (no reserve buffer available) (texture cache),
,MissFailReserveFetch_FC_ZST-SU{N},,,,,4,Fetch misses failed (no reserve buffer available) (Z-stencil cache),
,MissOKAlloc_FC64_TU-FS{N}TU{N},,,,,4,Number of successful allocation cache misses,
,MissOKAlloc_FC_CW-SU{N},,,,,4,Successful allocation cache misses handled properly (color write cache),
,MissOKAlloc_FC_InC,,,,,,Successful allocation cache misses handled properly (input cache),
,MissOKAlloc_FC_TU-FS{N}TU{N},,,,,4,Successful allocation cache misses handled properly (texture cache),
,MissOKAlloc_FC_ZST-SU{N},,,,,4,Successful allocation cache misses handled properly (Z-stencil cache),
,MissOKFetch_FC64_TU-FS{N}TU{N},,,,,4,Number of successful fetch cache misses handled,
,MissOKFetch_FC_CW-SU{N},,,,,4,Successful fetch cache misses handled properly (color write cache),
,MissOKFetch_FC_InC,,,,,,Successful fetch cache misses handled properly (input cache),
,MissOKFetch_FC_TU-FS{N}TU{N},,,,,4,Successful fetch cache misses handled properly (texture cache),
,MissOKFetch_FC_ZST-SU{N},,,,,4,Successful fetch cache misses handled properly (Z-stencil cache),
,MissesAlloc_FC64_TU-FS{N}TU{N},,,,,4,Number of allocation cache misses,
,MissesAlloc_FC_CW-SU{N},,,,,4,Number of allocation cache misses (color write cache),
,MissesAlloc_FC_InC,,,,,,Number of allocation cache misses (input cache),
,MissesAlloc_FC_TU-FS{N}TU{N},,,,,4,Number of allocation cache misses (texture cache),
,MissesAlloc_FC_ZST-SU{N},,,,,4,Number of allocation cache misses (Z-stencil cache),
,MissesFetch_FC64_TU-FS{N}TU{N},,,,,4,Number of fetch cache misses,
,MissesFetch_FC_CW-SU{N},,,,,4,Number of fetch cache misses (color write cache),
,MissesFetch_FC_InC,,,,,,Number of fetch cache misses (input cache),
,MissesFetch_FC_TU-FS{N}TU{N},,,,,4,Number of fetch cache misses (texture cache),
,MissesFetch_FC_ZST-SU{N},,,,,4,Number of fetch cache misses (Z-stencil cache),
,MissesHZCache_HZ,,,,,,MissesHZCache related metric,
,Misses_StOC,,,,,,Misses related metric,
,NoFetches_SL{N},,,,,1,Cycles with no fetch operations,
,NoNewRequests_CW-SU{N},,,,,4,Number of requests issued,
,NoNewRequests_ZST-SU{N},,,,,4,Number of requests issued,
,NoReads_SL{N},,,,,1,Cycles with no read operations,
,NoReadyCycles_ShF-FS{N},,,,,4,Number of cycles with no ready threads,
,OperatedFragments_CW-SU{N},,,,,4,Number of fragments processed by ROP unit,
,OperatedFragments_ZST-SU{N},,,,,4,Number of fragments processed by ROP unit,
,OperationQEmpty_CW-SU{N},,,,,4,Cycles with operation queue empty,
,OperationQEmpty_ZST-SU{N},,,,,4,Cycles with operation queue empty,
,OperationQFullStall_CW-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,OperationQFullStall_ZST-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,OutputAttributes_StC,,,,,,Number of output vertex attributes,
,OutputFragments_FFU,,,,,,OutputFragments related metric,
,OutputFragments_HZ,,,,,,OutputFragments related metric,
,OutputFragments_ZST-SU{N},,,,,4,Number of fragments output from processing stage,
,OutputTriangles_CLP,,,,,,OutputTriangles related metric,
,OutputTriangles_FFU,,,,,,Number of triangles output from fragment FIFO,
,OutputTriangles_TS,,,,,,Number of triangles output from setup (to traversal),
,OutputVertices_FFU,,,,,,OutputVertices related metric,
,Outputs_ShF-FS{N},,,,,4,Number of shader outputs generated,
,Outputs_StC,,,,,,Number of outputs generated,
,OutsideFragments_CW-SU{N},,,,,4,Number of fragments outside test boundaries,
,OutsideFragments_ZST-SU{N},,,,,4,Number of fragments outside test boundaries,
,OutsideTriangleFragments_HZ,,,,,,OutsideTriangleFragments related metric,
,OutsideViewportFragments_HZ,,,,,,OutsideViewportFragments related metric,
,PassedFragments_ZST-SU{N},,,,,4,Number of fragments passing depth/stencil tests,
,PendingMemoryRequestsAvg_TU-FS{N}TU{N},,,,,4,Number of memory requests issued to memory system,
